,ID,Origin,Destination,nadults,Budget,date,price_min,timestamp,num_children
0,U21RP4FCY," ""vancouver"""," ""naples"""," ""1"""," ""3500""",13th of august," ""0""",1471283860," ""11"""
1,U21RP4FCY," ""vancouver"""," ""naples"""," ""1"""," ""4500""",13th of august," ""0""",1471284070," ""11"""
2,U21RP4FCY," ""vancouver"""," ""naples"""," ""1"""," ""4500""",13th of august," ""0""",1471284123," ""11"""
3,U22HTHYNP," ""essen"""," ""buenos aires"""," ""1"""," ""3500""",the 13th," ""0""",1471282265," ""11"""
4,U21RP4FCY," ""mexico city"""," ""porto alegre"""," ""1"""," ""3000.00""",the 13th," ""1700""",1471282812," ""4"""
5,U21RP4FCY," ""mexico city"""," ""porto alegre"""," ""1"""," ""3000.00""",the 13th," ""1700""",1471282871," ""4"""
6,U22HTHYNP," ""kingston"""," ""columbo"""," ""1"""," ""12600""","Thursday, August 18, 2016"," ""1700""",1471280995," ""4"""
7,U22HTHYNP," ""kingston"""," ""Washington"""," ""1"""," ""12600""","Thursday, August 18, 2016"," ""1700""",1471281154," ""4"""
8,U21E41CQP," ""vancouver"""," ""recife"""," ""1"""," ""12600""",Aug-24," ""1700""",1471277526," ""4"""
9,U21E41CQP," ""vancouver"""," ""santos"""," ""1"""," ""2100""",Aug-24,,1471277665," """""
10,U21E41CQP," ""vancouver"""," ""Goiania"""," ""1"""," ""2100""",Aug-24,,1471277679," """""
11,U21E41CQP," ""vancouver"""," ""Manaus"""," ""1""",,Aug-24,,1471277708," """""
12,U21E41CQP," ""vancouver"""," ""Santso"""," ""1""",,Aug-24,,1471277752," """""
13,U21E41CQP," ""vancouver"""," ""Santso"""," ""1"""," ""1900""",Aug-24,,1471277752," """""
14,U21E41CQP," ""vancouver"""," ""recife"""," ""1""",,Aug-24,,1471278202,
15,U21E41CQP," ""vancouver"""," ""recife"""," ""1""",,Aug-24,,1471278232,
16,U21E41CQP," ""vancouver"""," ""recife"""," ""1""",,Aug-24,,1471278238,
,ID,Origin,Destination,nadults,Budget,date,price_min,timestamp,num_children
0,U22HTHYNP," ""Cleveland"""," ""Milan"""," ""3"""," ""3000""",20th," ""0""",1471358012," ""3"""
1,U22HTHYNP," ""Cleveland"""," ""Milan"""," ""3"""," ""3000""",20th," ""0""",1471358072," ""1"""
2,U22HTHYNP," ""Cleveland"""," ""Milan"""," ""3"""," ""5400""",20th," ""0""",1471358161," ""3"""
3,U22HTHYNP," ""Cleveland"""," ""Pittsburgh"""," ""3"""," ""5400""",20th," ""0""",1471358233," ""11"""
4,U22HTHYNP," ""belo horizonte"""," ""sao paulo"""," ""1"""," ""6000""",20th," ""1700""",1471296789," ""4"""
5,U22HTHYNP," ""porto alegre"""," ""boston"""," ""1"""," ""6000""",August 15th," ""1700""",1471294834," ""4"""
6,U22HTHYNP," ""mos eisley"""," ""boston"""," ""1"""," ""6000""",August 15th," ""1700""",1471294960," ""4"""
7,U22HTHYNP," ""rome"""," ""boston"""," ""1"""," ""6000""",August 15th," ""1700""",1471294968," ""4"""
8,U22HTHYNP," ""rome"""," ""boston"""," ""1"""," ""6000""",August 15th," ""1700""",1471294976," ""4"""
9,U22HTHYNP," ""rome"""," ""porto alegre"""," ""1"""," ""6000""",August 15th,,1471295169," """""
10,U22HTHYNP," ""rome"""," ""porto alegre"""," ""6"""," ""6000""",August 15th,,1471295298," """""
11,U22HTHYNP," ""rome"""," ""porto alegre"""," ""6"""," ""3700""",August 15th,,1471295397," """""
12,U22HTHYNP," ""vancouver"""," ""punta cana"""," ""3"""," ""6000""",August 13th,,1471291960," """""
13,U21E41CQP," ""Mannheim"""," ""Istanbul"""," ""1"""," ""6000""",Aug-17,,1471291337," """""
14,U21E41CQP," ""Mannheim"""," ""brasilia"""," ""1"""," ""6000""",Aug-17,,1471291373,
15,U21E41CQP," ""Mannheim"""," ""Halifax"""," ""1"""," ""6000""",Aug-17,,1471291432,
16,U21E41CQP," ""Mannheim"""," ""Brasilia"""," ""1"""," ""6000""",Aug-17,,1471291468,
17,U21E41CQP," ""Mannheim"""," ""Toronto"""," ""1"""," ""6000""",Aug-17,,1471291495,
